x (µm),y (µm),"C(x,y) (wt%)"
0.0,-75.0,1.1134325850101343
-12.0,-74.0,1.1038506638406613
-11.0,-74.0,1.2331852577709055
-10.0,-74.0,1.1626753093131534
-9.0,-74.0,1.1358733592330759
-8.0,-74.0,1.1692511935661005
-7.0,-74.0,1.0693036561574585
-6.0,-74.0,1.0915010873013347
-5.0,-74.0,1.1597158314452714
-4.0,-74.0,1.181830493212242
-3.0,-74.0,1.1700721047723637
-2.0,-74.0,1.21683259192725
-1.0,-74.0,1.1440310506087668
0.0,-74.0,1.1340368022116445
1.0,-74.0,1.1751350956933169
2.0,-74.0,1.094221829256362
3.0,-74.0,1.1669484850199368
4.0,-74.0,1.1370517932882283
5.0,-74.0,1.1208329536002266
6.0,-74.0,1.2222170430184134
7.0,-74.0,1.0106106327105011
8.0,-74.0,1.2238467394671446
9.0,-74.0,1.1141416214849018
10.0,-74.0,1.08100283918634
11.0,-74.0,1.1134339450162818
12.0,-74.0,1.0959494943244725
-17.0,-73.0,1.1537921029586904
-16.0,-73.0,1.1260485812820253
-15.0,-73.0,1.2066133446680258
-14.0,-73.0,1.1155674748477826
-13.0,-73.0,1.128475549483587
-12.0,-73.0,1.1322463115592183
-11.0,-73.0,1.1156121573363873
-10.0,-73.0,1.0797087760467545
-9.0,-73.0,1.179886270786781
-8.0,-73.0,1.1090309204271525
-7.0,-73.0,1.1896548480521563
-6.0,-73.0,1.2023695078196535
-5.0,-73.0,1.1857417792268068
-4.0,-73.0,1.1274107478816373
-3.0,-73.0,1.132301620624567
-2.0,-73.0,1.1253316575566286
-1.0,-73.0,1.2472670851467662
0.0,-73.0,1.1731689636367824
1.0,-73.0,1.1854793479523353
2.0,-73.0,1.1883636786706424
3.0,-73.0,1.2124117934191554
4.0,-73.0,1.1613703807789295
5.0,-73.0,1.187405324161838
6.0,-73.0,1.142654619462654
7.0,-73.0,1.1866239607206888
8.0,-73.0,1.2586926626957657
9.0,-73.0,1.1548804518242994
10.0,-73.0,1.1491436627013547
11.0,-73.0,1.116480081963807
12.0,-73.0,1.1593138864307544
13.0,-73.0,1.15901606686975
14.0,-73.0,1.1686105420086548
15.0,-73.0,1.1842532378168458
16.0,-73.0,1.2178861749474954
17.0,-73.0,1.1176620736699414
-21.0,-72.0,1.1941649929859002
-20.0,-72.0,1.2087700049061283
-19.0,-72.0,1.095970401761452
-18.0,-72.0,1.2392481821553933
-17.0,-72.0,1.1850777275165465
-16.0,-72.0,1.0631628676804055
-15.0,-72.0,1.100808990108241
-14.0,-72.0,1.1145279423517325
-13.0,-72.0,1.2175818435834813
-12.0,-72.0,1.25596268023421
-11.0,-72.0,1.0941969808837635
-10.0,-72.0,1.136959196432731
-9.0,-72.0,1.1587142004658555
-8.0,-72.0,1.2218752418106984
-7.0,-72.0,1.2032697191411657
-6.0,-72.0,1.1490167365592199
-5.0,-72.0,1.1636284117091238
-4.0,-72.0,1.245809484306341
-3.0,-72.0,1.14446667350288
-2.0,-72.0,1.2425951105347528
-1.0,-72.0,1.1222342076846035
0.0,-72.0,1.1578867380832643
1.0,-72.0,1.1902530239739746
2.0,-72.0,1.1360288888377652
3.0,-72.0,1.118929464936378
4.0,-72.0,1.2232187332601876
5.0,-72.0,1.125347524451419
6.0,-72.0,1.0664807441759214
7.0,-72.0,1.2552150213094306
8.0,-72.0,1.2793495647686444
9.0,-72.0,1.1832717986517909
10.0,-72.0,1.2546507588829712
11.0,-72.0,1.029507504670098
12.0,-72.0,1.1816557564662924
13.0,-72.0,1.1308689466308284
14.0,-72.0,1.1780096464513112
15.0,-72.0,1.1137392666797805
16.0,-72.0,1.1843483403630672
17.0,-72.0,1.2564581774704553
18.0,-72.0,1.1292145580599233
19.0,-72.0,1.10600803922359
20.0,-72.0,1.203902893074345
21.0,-72.0,1.1654629079477206
-24.0,-71.0,1.144168664893484
-23.0,-71.0,1.1458487057476292
-22.0,-71.0,1.14823715335723
-21.0,-71.0,1.1697562623974054
-20.0,-71.0,1.167986906932925
-19.0,-71.0,1.2335674641747065
-18.0,-71.0,1.0991818042457515
-17.0,-71.0,1.1797583803563814
-16.0,-71.0,1.21886992287692
-15.0,-71.0,1.166004788422091
-14.0,-71.0,1.1891878907120002
-13.0,-71.0,1.142315986006925
-12.0,-71.0,1.2343154560077023
-11.0,-71.0,1.1681678351488753
-10.0,-71.0,1.1893138034020958
-9.0,-71.0,1.2638544331303991
-8.0,-71.0,1.1985915835854082
-7.0,-71.0,1.2250776611041556
-6.0,-71.0,1.1768114929058797
-5.0,-71.0,1.099712874999121
-4.0,-71.0,1.2755028758431792
-3.0,-71.0,1.1663220010268722
-2.0,-71.0,1.2547104790470667
-1.0,-71.0,1.2657457851907796
0.0,-71.0,1.2073935621946539
1.0,-71.0,1.1522723102604837
2.0,-71.0,1.2775561048606763
3.0,-71.0,1.1884090355654877
4.0,-71.0,1.2135598203938025
5.0,-71.0,1.1626320904869
6.0,-71.0,1.2378748413300542
7.0,-71.0,1.204233709248801
8.0,-71.0,1.1979471602402787
9.0,-71.0,1.2236499955292246
10.0,-71.0,1.2279639573453855
11.0,-71.0,1.1845895511899567
12.0,-71.0,1.1927548506804382
13.0,-71.0,1.209045854780164
14.0,-71.0,1.1712840474697268
15.0,-71.0,1.2256724790129572
16.0,-71.0,1.266215417244344
17.0,-71.0,1.1641611491551664
18.0,-71.0,1.1656687522197724
19.0,-71.0,1.1877279924488913
20.0,-71.0,1.1817728590824959
21.0,-71.0,1.1326442785900486
22.0,-71.0,1.110053941631993
23.0,-71.0,1.1837177920108273
24.0,-71.0,1.2129243689323173
-26.0,-70.0,1.145128455189251
-25.0,-70.0,1.113835990239696
-24.0,-70.0,1.15695409661099
-23.0,-70.0,1.188559052186314
-22.0,-70.0,1.1782011614828054
-21.0,-70.0,1.0939719783579176
-20.0,-70.0,1.1421694992678615
-19.0,-70.0,1.2064880137698504
-18.0,-70.0,1.1770592453135345
-17.0,-70.0,1.1679854999805568
-16.0,-70.0,1.175698439896233
-15.0,-70.0,1.1040411451108798
-14.0,-70.0,1.146135139779528
-13.0,-70.0,1.1529849804463896
-12.0,-70.0,1.1234541513302734
-11.0,-70.0,1.191073495956838
-10.0,-70.0,1.1854287262514485
-9.0,-70.0,1.168986326237327
-8.0,-70.0,1.2502562583583443
-7.0,-70.0,1.1912693802610317
-6.0,-70.0,1.1044430030270285
-5.0,-70.0,1.2383076245929792
-4.0,-70.0,1.174822580783475
-3.0,-70.0,1.1650602557454872
-2.0,-70.0,1.158799586751285
-1.0,-70.0,1.2612968522784447
0.0,-70.0,1.2978477125820698
1.0,-70.0,1.310898306337407
2.0,-70.0,1.3016695395310223
3.0,-70.0,1.3361174089957975
4.0,-70.0,1.2358069341868845
5.0,-70.0,1.2799261724970705
6.0,-70.0,1.3227312926876114
7.0,-70.0,1.2227148376761245
8.0,-70.0,1.2236738550316801
9.0,-70.0,1.2395410061556758
10.0,-70.0,1.211023757823383
11.0,-70.0,1.2153763677734764
12.0,-70.0,1.2974241434251808
13.0,-70.0,1.2765981138180056
14.0,-70.0,1.1732067197594909
15.0,-70.0,1.1476467640477324
16.0,-70.0,1.206907784805535
17.0,-70.0,1.2360831737022486
18.0,-70.0,1.1288728187443233
19.0,-70.0,1.1443856191236101
20.0,-70.0,1.198525039365056
21.0,-70.0,1.1427096302683206
22.0,-70.0,1.1725970656780889
23.0,-70.0,1.1592765811196382
24.0,-70.0,1.1906830064157912
25.0,-70.0,1.267869527145789
26.0,-70.0,1.1538763681633024
-29.0,-69.0,1.1132641287990817
-28.0,-69.0,1.079958202454863
-27.0,-69.0,1.1550135101041366
-26.0,-69.0,1.1598981559537624
-25.0,-69.0,1.1763878350945074
-24.0,-69.0,1.1090890990273483
-23.0,-69.0,1.270862701293926
-22.0,-69.0,1.2004181905770652
-21.0,-69.0,1.1503225170244975
-20.0,-69.0,1.1882313928129966
